login,n,name,blog
aaronwolen,2,Aaron Wolen,aaronwolen.com
absolutelyNoWarranty,10,NA,NA
adamphunt,1,Adam Hunt,NA
agrabovsky,1,NA,NA
agrueneberg,3,Alexander Grueneberg,https://agrueneberg.info
ajdamico,4,Anthony Damico,http://ajdamico.com/
ajdm,2,James Manton,NA
ajschumacher,78,Aaron Schumacher,http://planspace.org/
alandipert,2,Alan Dipert,https://tailrecursion.com/~alan/
alexbbrown,3,Alex Brown,NA
alexperrone,1,NA,NA
alexWhitworth,1,Alex Whitworth,https://www.linkedin.com/pub/alex-whitworth/3/908/821
alko989,1,Alexandros Kokkalis,NA
amarchin,1,NA,NA
AmeliaMN,1,Amelia McNamara,www.science.smith.edu/~amcnamara/
amoeba,1,Bryce Mecum,https://brycemecum.com
andrewla,1,Andrew Laucius,NA
andrewpbray,1,Andrew Bray,http://andrewpbray.github.io
andrie,1,Andrie de Vries,http://www.rfordummies.com
aranlunzer,1,NA,NA
arilamstein,1,Ari Lamstein,http://www.arilamstein.com
asnr,1,NA,https://asnr.github.io/
ateucher,1,Andy Teucher,NA
avilella,1,Albert Vilella,http://twitter.com/albertvilella
baptiste,1,baptiste,NA
BarkleyBG,1,Brian G. Barkley,http://bios.unc.edu/~bribark/
batpigandme,3,Mara Averick,https://twitter.com/dataandme
bborgesr,1,Barbara Borges Ribeiro,NA
bgreenwell,1,Brandon Greenwell,NA
bhive01,1,Brandon Hurr,NA
binarybana,2,Jason Knight,linkedin.com/in/binarybana
bklamer,3,Brett Klamer,NA
blindjesse,1,Jesse Anderson,NA
blmayer,1,Brian Mayer,NA
blmoore,1,Benjamin L. Moore,http://blm.io/blog
BrianDiggs,1,Brian Diggs,NA
byandell,1,Brian S. Yandell,http://www.stat.wisc.edu/~yandell
carey1024,1,NA,NA
chiphogg,4,Chip Hogg,NA
ChrisMuir,2,Chris Muir,NA
christophergandrud,1,Christopher Gandrud,http://christophergandrud.blogspot.com/
clayford,4,Clay Ford,http://www.clayford.net/statistics/
ColinFay,3,Colin Fay,http://colinfay.me
cortinah,1,NA,NA
cplouffe,1,Cameron Plouffe,NA
cpsievert,1,Carson Sievert,https://cpsievert.me/
craigcitro,1,Craig Citro,http://www.craigcitro.org/
craiggrabowski,2,Craig Grabowski,NA
croach,3,Christopher Roach,http://christopherroach.com
crowding,5,Peter Meilstrup,https://twitter.com/perceptory
crtahlin,43,Crt Ahlin,blog.numbersinlife.com
cscheid,2,Carlos Scheidegger,http://cscheid.net
csgillespie,2,Colin Gillespie,http://www.mas.ncl.ac.uk/~ncsg3/
ctbrown,1,Christopher Brown,http://decisionpatterns.com
cubranic,1,Davor Cubranic,NA
cusanovich,7,Darren Cusanovich,http://faculty.washington.edu/cusanovi/
cwarden,1,Christian G. Warden,http://xn.pinkhamster.net/
cwickham,4,Charlotte Wickham,http://cwick.co.nz
daattali,10,Dean Attali,http://attalitech.com
dan87134,4,Dan Sullivan,NA
daniel-barnett,1,Daniel Barnett,NA
darrkj,14,Kenny Darrell,http://darrkj.github.io/blogs
datapixie,4,Tracy Nance,NA
davechilders,1,Dave Childers,NA
davidrubinger,1,David Rubinger,NA
dchudz,1,David Chudzicki,www.davidchudzicki.com
dichika,1,Daisuke ICHIKAWA,http://d.hatena.ne.jp/dichika
dkahle,6,david kahle,www.kahle.io
dlebauer,3,David LeBauer,davidlebauer.com
dlschweizer,1,David Schweizer,NA
dmontaner,1,David Montaner,www.dmontaner.com
dongzhuoer,1,Zhuoer Dong,https://dongzhuoer.github.io
dougmitarotonda,2,Doug Mitarotonda,NA
Dripdrop12,1,Jonathan Hill,www.ficonsulting.com/filabs
duju211,1,Julian During,NA
duncanwadsworth,2,NA,NA
eaurele,1,NA,NA
eddelbuettel,5,Dirk Eddelbuettel,http://dirk.eddelbuettel.com
EdFineOKL,1,NA,NA
EdwinTh,1,Edwin Thoen,thats-so-random.com
eheinzen,1,Ethan Heinzen,NA
eijoac,1,NA,NA
eipi10,4,Joel Schwartz,NA
elegrand,1,Eric Ronald Legrand,NA
ellisvalentiner,1,Ellis Valentiner,https://www.ellisvalentiner.com
EmilHvitfeldt,1,Emil Hvitfeldt,https://www.hvitfeldt.me/
EmilRehnberg,2,Emil Rehnberg,NA
erget,1,Daniel Lee,https://erget.wordpress.com/
eriqande,1,Eric C. Anderson,NA
espinielli,2,Enrico Spinielli,http://enrico.spinielli.net/
etb,1,NA,NA
eusebe,1,David Hajage,NA
